xmin,xmax,label
0,1.299936507936507,silent
1.299936507936507,2.371936507936507,sounding
2.371936507936507,3.8279365079365073,silent
3.8279365079365073,4.483936507936507,sounding
4.483936507936507,6.627936507936507,silent
6.627936507936507,10.875936507936506,sounding
10.875936507936506,13.411936507936506,silent
13.411936507936506,14.363936507936508,sounding
14.363936507936508,16.019936507936507,silent
16.019936507936507,26.80393650793651,sounding
26.80393650793651,28.755936507936507,silent
28.755936507936507,30.09193650793651,sounding
30.09193650793651,32.81193650793651,silent
32.81193650793651,39.0519365079365,sounding
39.0519365079365,40.7319365079365,silent
40.7319365079365,42.203936507936504,sounding
42.203936507936504,44.635936507936506,silent
44.635936507936506,49.571936507936506,sounding
49.571936507936506,51.5639365079365,silent
51.5639365079365,53.2439365079365,sounding
53.2439365079365,55.25993650793651,silent
55.25993650793651,56.523936507936504,sounding
56.523936507936504,58.15593650793651,silent
58.15593650793651,60.4359365079365,sounding
60.4359365079365,62.227936507936505,silent
62.227936507936505,64.01193650793651,sounding
64.01193650793651,68.29193650793651,silent
68.29193650793651,69.91593650793651,sounding
69.91593650793651,73.09993650793652,silent
73.09993650793652,74.29193650793651,sounding
74.29193650793651,77.83593650793651,silent
77.83593650793651,78.65193650793651,sounding
78.65193650793651,81.24393650793651,silent
81.24393650793651,85.39593650793651,sounding
85.39593650793651,87.45193650793651,silent
87.45193650793651,88.83593650793651,sounding
88.83593650793651,91.57993650793651,silent
91.57993650793651,100.64393650793652,sounding
100.64393650793652,102.54793650793651,silent
102.54793650793651,104.37993650793652,sounding
104.37993650793652,107.75593650793651,silent
107.75593650793651,127.75593650793651,sounding
127.75593650793651,132.0519365079365,silent
132.0519365079365,133.3799365079365,sounding
133.3799365079365,135.4999365079365,silent
135.4999365079365,139.2279365079365,sounding
139.2279365079365,143.6999365079365,silent
143.6999365079365,146.9159365079365,sounding
146.9159365079365,151.6359365079365,silent
151.6359365079365,154.7719365079365,sounding
154.7719365079365,158.5239365079365,silent
158.5239365079365,159.6759365079365,sounding
159.6759365079365,161.1319365079365,silent
161.1319365079365,161.9879365079365,sounding
161.9879365079365,165.4679365079365,silent
165.4679365079365,169.2119365079365,sounding
169.2119365079365,177.65587301587303,silent
