xmin,xmax,label
0,1.23509523809524,silent
1.23509523809524,4.0430952380952405,sounding
4.0430952380952405,6.491095238095241,silent
6.491095238095241,21.123095238095242,sounding
21.123095238095242,23.563095238095244,silent
23.563095238095244,25.283095238095243,sounding
25.283095238095243,26.739095238095242,silent
26.739095238095242,45.05909523809524,sounding
45.05909523809524,49.115095238095236,silent
49.115095238095236,51.21109523809524,sounding
51.21109523809524,53.923095238095236,silent
53.923095238095236,54.84309523809524,sounding
54.84309523809524,56.29909523809524,silent
56.29909523809524,60.95509523809524,sounding
60.95509523809524,62.371095238095236,silent
62.371095238095236,65.00619047619048,sounding
